Okres;Samobojstwa;JPT_NAZWA_;Malzenstwa;Rozwody;Dochodnaosobe;Wynagrodzenie
2005;338;dolnośląskie;5632;7368;778;2494
2005;327;kujawsko-pomorskie;3545;4274;664;2190
2005;383;lubelskie;3227;2828;672;2186
2005;191;lubuskie;1790;2567;691;2186
2005;378;łódzkie;3753;5094;769;2225
2005;471;małopolskie;3992;4676;732;2344
2005;364;mazowieckie;7447;8514;938;3240
2005;163;opolskie;1800;1848;796;2263
2005;270;podkarpackie;2599;2686;619;2108
2005;223;podlaskie;1603;2178;725;2229
2005;339;pomorskie;3725;4027;801;2554
2005;664;śląskie;8493;9168;793;2624
2005;174;świętokrzyskie;1577;893;621;2198
2005;308;warmińsko-mazurskie;2456;3057;701;2148
2005;496;wielkopolskie;4716;4601;739;2306
2005;272;zachodniopomorskie;3294;3678;763;2326
2005;264;mazowieckie;7447;8514;938;3240
2006;320;dolnośląskie;6335;7358;853;2664
2006;251;kujawsko-pomorskie;3908;4295;771;2325
2006;345;lubelskie;3496;1917;725;2325
2006;223;lubuskie;2146;2420;842;2307
2006;389;łódzkie;4316;5411;837;2339
2006;386;małopolskie;4623;4993;765;2496
2006;312;mazowieckie;8734;9755;1049;3431
2006;181;opolskie;2200;2091;795;2442
2006;265;podkarpackie;3041;2301;647;2220
2006;184;podlaskie;1713;1853;816;2367
2006;347;pomorskie;4558;4371;911;2712
2006;626;śląskie;9985;10718;848;2774
2006;187;świętokrzyskie;1879;870;698;2317
2006;295;warmińsko-mazurskie;2628;3480;746;2250
2006;415;wielkopolskie;5485;5244;814;2452
2006;234;zachodniopomorskie;3903;4645;835;2454
2006;192;mazowieckie;8734;9755;1049;3431
2007;282;dolnośląskie;7266;6681;951;2924
2007;251;kujawsko-pomorskie;4419;3978;898;2514
2007;295;lubelskie;3795;2319;792;2542
2007;190;lubuskie;2485;2122;914;2511
2007;390;łódzkie;4488;4901;911;2536
2007;337;małopolskie;5012;4149;864;2741
2007;301;mazowieckie;9506;9064;1207;3720
2007;148;opolskie;2163;1870;916;2682
2007;198;podkarpackie;3258;2214;701;2423
2007;215;podlaskie;1893;2045;884;2607
2007;267;pomorskie;5113;4499;1030;3016
2007;514;śląskie;10720;9531;919;2997
2007;139;świętokrzyskie;2150;1126;776;2527
2007;306;warmińsko-mazurskie;3184;3029;835;2454
2007;428;wielkopolskie;6204;4947;890;2700
2007;221;zachodniopomorskie;4405;3703;904;2674
2007;176;mazowieckie;9506;9064;1207;3720
2008;311;dolnośląskie;7375;6250;1119;3225
2008;323;kujawsko-pomorskie;4754;3606;950;2761
2008;398;lubelskie;3722;1939;881;2825
2008;201;lubuskie;2537;2232;1059;2748
2008;379;łódzkie;4897;4298;1013;2822
2008;369;małopolskie;5227;4362;1001;3020
2008;487;mazowieckie;9823;9165;1336;4105
2008;157;opolskie;2267;1694;1080;2978
2008;239;podkarpackie;3150;2290;791;2680
2008;247;podlaskie;2112;1837;935;2853
2008;287;pomorskie;5324;4096;1102;3278
2008;536;śląskie;11219;9711;1041;3347
2008;135;świętokrzyskie;2097;1259;878;2823
2008;361;warmińsko-mazurskie;3384;2805;979;2692
2008;367;wielkopolskie;6804;5677;1019;2976
2008;226;zachodniopomorskie;4598;3784;1049;2974
2008;214;mazowieckie;9823;9165;1336;4105
2009;295;dolnośląskie;7221;6527;1174;3386
2009;333;kujawsko-pomorskie;4694;3896;1015;2907
2009;390;lubelskie;3638;2814;909;2962
2009;285;lubuskie;2485;1968;1103;2899
2009;471;łódzkie;4854;4929;1115;2977
2009;463;małopolskie;5420;4095;1042;3159
2009;452;mazowieckie;9934;9003;1439;4340
2009;185;opolskie;2254;1762;1082;3111
2009;242;podkarpackie;3163;2273;835;2822
2009;251;podlaskie;1994;2040;1019;2984
2009;341;pomorskie;5233;4145;1164;3419
2009;712;śląskie;11075;8661;1114;3486
2009;155;świętokrzyskie;2043;1041;938;2975
2009;395;warmińsko-mazurskie;3364;2840;1084;2830
2009;451;wielkopolskie;6635;5057;1097;3099
2009;238;zachodniopomorskie;4753;3804;1140;3126
2009;254;mazowieckie;9934;9003;1439;4340
2010;266;dolnośląskie;6725;5797;1239;3517
2010;291;kujawsko-pomorskie;4172;4000;1158;3017
2010;359;lubelskie;3430;2483;978;3137
2010;183;lubuskie;2377;1937;1153;3018
2010;440;łódzkie;4500;4267;1179;3157
2010;467;małopolskie;5106;3621;1108;3300
2010;416;mazowieckie;9236;8314;1602;4421
2010;186;opolskie;2102;1516;1116;3209
2010;252;podkarpackie;2999;2087;907;2970
2010;234;podlaskie;1889;1937;1103;3135
2010;268;pomorskie;4690;3661;1243;3500
2010;698;śląskie;10015;8522;1168;3634
2010;208;świętokrzyskie;2027;1536;1026;3098
2010;373;warmińsko-mazurskie;3032;2899;1103;2977
2010;374;wielkopolskie;6267;4926;1126;3252
2010;206;zachodniopomorskie;4261;3314;1187;3242
2010;235;mazowieckie;9236;8314;1602;4421
2011;241;dolnośląskie;6879;5942;1283;3678
2011;330;kujawsko-pomorskie;4259;4029;1109;3168
2011;313;lubelskie;3457;2806;1026;3323
2011;214;lubuskie;2313;2103;1190;3167
2011;436;łódzkie;4213;4055;1203;3345
2011;439;małopolskie;4955;4941;1157;3479
2011;356;mazowieckie;9307;8712;1623;4627
2011;141;opolskie;2017;1705;1182;3372
2011;197;podkarpackie;3081;2371;938;3121
2011;220;podlaskie;2001;1883;1225;3277
2011;260;pomorskie;4765;3958;1287;3675
2011;695;śląskie;9830;8329;1215;3836
2011;172;świętokrzyskie;2008;1310;1063;3242
2011;336;warmińsko-mazurskie;3119;2887;1097;3108
2011;326;wielkopolskie;6209;5353;1135;3400
2011;245;zachodniopomorskie;4005;3657;1231;3371
2011;203;mazowieckie;9307;8712;1623;4627
2012;262;dolnośląskie;7311;5792;1367;3788
2012;348;kujawsko-pomorskie;4461;3916;1134;3285
2012;302;lubelskie;3319;3098;1056;3448
2012;248;lubuskie;2554;2006;1231;3276
2012;511;łódzkie;4392;4512;1268;3485
2012;468;małopolskie;4792;4817;1190;3579
2012;350;mazowieckie;9164;8757;1710;4696
2012;148;opolskie;2095;1656;1294;3440
2012;233;podkarpackie;2919;2228;959;3237
2012;232;podlaskie;1960;1756;1242;3401
2012;247;pomorskie;4879;3098;1351;3794
2012;612;śląskie;9807;8493;1279;3999
2012;576;świętokrzyskie;1977;1991;1120;3371
2012;346;warmińsko-mazurskie;3248;2779;1110;3234
2012;294;wielkopolskie;6407;5696;1153;3524
2012;229;zachodniopomorskie;4168;3293;1264;3511
2012;385;mazowieckie;9164;8757;1710;4696
2013;303;kujawsko-pomorskie;3887;4201;1169;3420
2013;283;podlaskie;1733;1997;1258;3496
2013;399;pomorskie;4241;3955;1434;3932
2013;265;lubuskie;2213;1960;1238;3382
2013;1149;śląskie;8906;8602;1319;4096
2013;725;świętokrzyskie;1817;1383;1153;3440
2013;752;małopolskie;4667;3989;1228;3692
2013;699;łódzkie;3939;4417;1296;3609
2013;474;lubelskie;2948;4130;1106;3561
2013;461;warmińsko-mazurskie;2731;2789;1109;3332
2013;218;opolskie;1921;1630;1199;3569
2013;504;wielkopolskie;5666;5744;1207;3623
2013;327;podkarpackie;2763;2332;998;3371
2013;416;zachodniopomorskie;3804;3293;1256;3633
2013;510;mazowieckie;8347;9110;1690;4812
2013;527;mazowieckie;8347;9110;1690;4812
2013;563;dolnośląskie;6221;5939;1345;3944
2014;326;kujawsko-pomorskie;4129;4303;1202;3530
2014;358;podlaskie;1899;1905;1259;3620
2014;449;pomorskie;4698;3211;1376;4100
2014;241;lubuskie;2395;2116;1285;3514
2014;1407;śląskie;9584;8230;1382;4189
2014;839;świętokrzyskie;1765;1913;1200;3535
2014;1004;małopolskie;4853;4404;1261;3820
2014;893;łódzkie;4093;4396;1293;3735
2014;532;lubelskie;3260;3175;1208;3659
2014;627;warmińsko-mazurskie;2978;2690;1230;3472
2014;228;opolskie;1999;1676;1245;3722
2014;601;wielkopolskie;6072;5892;1269;3701
2014;425;podkarpackie;2888;2322;1053;3497
2014;457;zachodniopomorskie;4207;3342;1365;3754
2014;539;mazowieckie;8680;9761;1704;4981
2014;598;mazowieckie;8680;9761;1704;4981
2014;683;dolnośląskie;6763;5786;1366;4120
2015;344;kujawsko-pomorskie;4221;4097;1246;3647
2015;310;podlaskie;1762;1975;1258;3733
2015;470;pomorskie;4985;4719;1381;4262
2015;278;lubuskie;2509;2087;1420;3638
2015;1511;śląskie;9564;8249;1421;4292
2015;793;świętokrzyskie;1842;1777;1203;3688
2015;898;małopolskie;4849;4780;1305;4020
2015;906;łódzkie;4198;3806;1362;3872
2015;502;lubelskie;3367;3432;1227;3765
2015;589;warmińsko-mazurskie;2888;2749;1281;3595
2015;235;opolskie;1967;1678;1289;3863
2015;574;wielkopolskie;6270;5877;1288;3797
2015;466;podkarpackie;2908;2646;1082;3607
2015;435;zachodniopomorskie;4252;3238;1427;3898
2015;484;mazowieckie;9022;9859;1756;5135
2015;559;mazowieckie;9022;9859;1756;5135
2015;619;dolnośląskie;6769;5514;1472;4283
2016;351;kujawsko-pomorskie;4139;3743;1309;3765
2016;389;podlaskie;1792;1815;1420;3872
2016;461;pomorskie;4984;3851;1560;4411
2016;284;lubuskie;2414;1885;1499;3823
2016;1436;śląskie;9394;8185;1513;4355
2016;670;świętokrzyskie;1812;1799;1306;3796
2016;1029;małopolskie;5117;4641;1423;4179
2016;1003;łódzkie;4271;4086;1458;4008
2016;465;lubelskie;3180;3129;1299;3917
2016;483;warmińsko-mazurskie;2833;2661;1372;3729
2016;244;opolskie;1960;1435;1390;4016
2016;549;wielkopolskie;6572;6082;1400;3976
2016;441;podkarpackie;2878;2506;1134;3750
2016;415;zachodniopomorskie;4196;3130;1483;4076
2016;475;mazowieckie;9265;8569;1781;5301
2016;558;mazowieckie;9265;8569;1781;5301
2016;608;dolnośląskie;6764;5077;1586;4456
2017;385;kujawsko-pomorskie;4205;3877;1457;4001
2017;348;podlaskie;1723;1812;1586;4102
2017;587;pomorskie;5172;3734;1649;4631
2017;288;lubuskie;2452;1843;1591;4036
2017;1667;śląskie;9380;8014;1646;4557
2017;610;świętokrzyskie;1813;1788;1433;4007
2017;1023;małopolskie;5191;4330;1492;4455
2017;1267;łódzkie;4349;4420;1566;4219
2017;557;lubelskie;3035;3347;1437;4080
2017;563;warmińsko-mazurskie;2906;2820;1496;3896
2017;234;opolskie;1877;1592;1511;4229
2017;678;wielkopolskie;6559;5933;1607;4231
2017;580;podkarpackie;2846;2467;1254;3920
2017;466;zachodniopomorskie;4302;3349;1653;4274
2017;461;mazowieckie;9992;9040;1912;5568
2017;643;mazowieckie;9992;9040;1912;5568
2017;782;dolnośląskie;6802;5946;1626;4722
2018;413;kujawsko-pomorskie;4247;3261;1611;4264
2018;346;podlaskie;1685;1746;1597;4355
2018;569;pomorskie;5131;3559;1738;4920
2018;294;lubuskie;2534;1628;1665;4349
2018;1686;śląskie;9608;8152;1757;4907
2018;517;świętokrzyskie;1834;1725;1550;4281
2018;1033;małopolskie;5243;4387;1628;4761
2018;1240;łódzkie;4353;3605;1620;4538
2018;612;lubelskie;3068;3119;1528;4327
2018;546;warmińsko-mazurskie;2877;2494;1555;4129
2018;210;opolskie;2024;1510;1589;4477
2018;706;wielkopolskie;6602;5787;1630;4507
2018;592;podkarpackie;2818;2477;1347;4190
2018;421;zachodniopomorskie;4396;3268;1722;4539
2018;497;mazowieckie;9835;9489;2032;5938
2018;626;mazowieckie;9835;9489;2032;5938
2018;859;dolnośląskie;7114;5600;1756;4994
2019;401;kujawsko-pomorskie;4195;3759;1771;4621
2019;461;podlaskie;1673;2086;1742;4665
2019;675;pomorskie;5325;3303;1860;5292
2019;369;lubuskie;2442;1770;1794;4632
2019;1620;śląskie;9733;7965;1897;5262
2019;512;świętokrzyskie;1686;1462;1626;4584
2019;1075;małopolskie;5404;4708;1773;5208
2019;1252;łódzkie;4390;4859;1810;4883
2019;667;lubelskie;2971;3404;1557;4628
2019;611;warmińsko-mazurskie;2918;2699;1597;4411
2019;215;opolskie;1874;1583;1687;4800
2019;747;wielkopolskie;6918;5809;1807;4819
2019;545;podkarpackie;2716;2568;1471;4487
2019;526;zachodniopomorskie;4381;3141;1801;4882
2019;517;mazowieckie;10260;9181;2108;6270
2019;672;mazowieckie;10260;9181;2108;6270
2019;1096;dolnośląskie;7272;6058;1955;5388
2020;396;kujawsko-pomorskie;3788;3416;1845;4934
2020;498;podlaskie;1528;1400;1948;5004
2020;724;pomorskie;4726;2924;1799;5585
2020;315;lubuskie;2091;1145;1971;4876
2020;1709;śląskie;8654;6114;2050;5509
2020;533;świętokrzyskie;1608;1367;1727;4862
2020;1148;małopolskie;5089;3833;1915;5577
2020;1263;łódzkie;4036;3123;1872;5209
2020;626;lubelskie;2955;2662;1679;4948
2020;566;warmińsko-mazurskie;2527;1884;1884;4763
2020;194;opolskie;1712;1089;1711;5130
2020;746;wielkopolskie;6226;4108;1789;5056
2020;580;podkarpackie;2499;2024;1589;4770
2020;529;zachodniopomorskie;3927;2385;1862;5200
2020;548;mazowieckie;9425;8087;2241;6562
2020;654;mazowieckie;9425;8087;2241;6562
2020;984;dolnośląskie;6474;4995;2031;5712
2021;448;kujawsko-pomorskie;4388;3783;1932;5424
2021;542;podlaskie;1733;1596;2005;5486
2021;1675;pomorskie;5743;3935;1836;6105
2021;333;lubuskie;2585;1557;2127;5373
2021;1806;śląskie;9931;7463;2180;5967
2021;528;świętokrzyskie;1789;1669;1865;5319
2021;1217;małopolskie;5861;4416;2039;6108
2021;1351;łódzkie;4678;3284;2086;5739
2021;726;lubelskie;3219;3194;1907;5404
2021;585;warmińsko-mazurskie;2936;2376;2069;5231
2021;226;opolskie;1860;1335;1691;5602
2021;806;wielkopolskie;7342;5467;1881;5479
2021;631;podkarpackie;2764;2544;1704;5241
2021;594;zachodniopomorskie;4507;3184;2029;5671
2021;621;mazowieckie;10912;9087;2450;7089
2021;675;mazowieckie;10912;9087;2450;7089
2021;1034;dolnośląskie;7764;5023;2213;6271
2022;510;kujawsko-pomorskie;4354;3477;2140;6006
2022;583;podlaskie;1650;1618;2355;6058
2022;1754;pomorskie;5766;3819;2020;6847
2022;313;lubuskie;2552;1502;2252;6072
2022;1951;śląskie;9464;7313;2378;6770
2022;515;świętokrzyskie;1665;1533;1983;5833
2022;1298;małopolskie;5712;4163;2237;6906
2022;1426;łódzkie;4474;4137;2281;6312
2022;791;lubelskie;3009;3031;2088;5962
2022;624;warmińsko-mazurskie;2957;2434;2102;5699
2022;267;opolskie;1768;1371;1910;6252
2022;827;wielkopolskie;7390;4747;2074;6109
2022;695;podkarpackie;2574;2417;1829;5761
2022;602;zachodniopomorskie;4504;3317;2342;6261
2022;615;mazowieckie;10827;9241;2686;7909
2022;748;mazowieckie;10827;9241;2686;7909
2022;1001;dolnośląskie;7739;5213;2293;6964
2023;537;kujawsko-pomorskie;4412;3251;2534;6808
2023;602;podlaskie;1622;1713;2681;6841
2023;1811;pomorskie;5765;3471;2292;7598
2023;307;lubuskie;2493;1364;2746;6884
2023;2120;śląskie;9487;7144;2892;7652
2023;565;świętokrzyskie;1596;1344;2419;6563
2023;1205;małopolskie;5809;4078;2790;7782
2023;1490;łódzkie;4716;3765;2555;7133
2023;772;lubelskie;2995;3052;2461;6763
2023;629;warmińsko-mazurskie;2880;2226;2428;6527
2023;278;opolskie;1764;1287;0;7087
2023;988;wielkopolskie;7557;5037;2495;6856
2023;653;podkarpackie;2542;2263;2281;6485
2023;682;zachodniopomorskie;4418;2616;2801;7060
2023;673;mazowieckie;11357;8709;3209;8837
2023;763;mazowieckie;11357;8709;3209;8837
2023;1058;dolnośląskie;8054;4720;2740;7831
