Okres;JPT_NAZWA_;Samobojstwa;Malzenstwa;Rozwody;Dochodnaosobe;Wynagrodzenie
2005;zachodniopomorskie;272;3294;3678;763;2326
2005;lubuskie;191;1790;2567;691;2186
2005;dolnośląskie;338;5632;7368;778;2494
2005;wielkopolskie;496;4716;4601;739;2306
2005;pomorskie;339;3725;4027;801;2554
2005;opolskie;163;1800;1848;796;2263
2005;kujawsko-pomorskie;327;3545;4274;664;2190
2005;śląskie;664;8493;9168;793;2624
2005;łódzkie;378;3753;5094;769;2225
2005;małopolskie;471;3992;4676;732;2344
2005;warmińsko-mazurskie;308;2456;3057;701;2148
2005;mazowieckie;628;7447;8514;938;3240
2005;świętokrzyskie;174;1577;893;621;2198
2005;podkarpackie;270;2599;2686;619;2108
2005;podlaskie;223;1603;2178;725;2229
2005;lubelskie;383;3227;2828;672;2186
2006;zachodniopomorskie;234;3903;4645;835;2454
2006;lubuskie;223;2146;2420;842;2307
2006;dolnośląskie;320;6335;7358;853;2664
2006;wielkopolskie;415;5485;5244;814;2452
2006;pomorskie;347;4558;4371;911;2712
2006;opolskie;181;2200;2091;795;2442
2006;kujawsko-pomorskie;251;3908;4295;771;2325
2006;śląskie;626;9985;10718;848;2774
2006;łódzkie;389;4316;5411;837;2339
2006;małopolskie;386;4623;4993;765;2496
2006;warmińsko-mazurskie;295;2628;3480;746;2250
2006;mazowieckie;504;8734;9755;1049;3431
2006;świętokrzyskie;187;1879;870;698;2317
2006;podkarpackie;265;3041;2301;647;2220
2006;podlaskie;184;1713;1853;816;2367
2006;lubelskie;345;3496;1917;725;2325
2007;zachodniopomorskie;221;4405;3703;904;2674
2007;lubuskie;190;2485;2122;914;2511
2007;dolnośląskie;282;7266;6681;951;2924
2007;wielkopolskie;428;6204;4947;890;2700
2007;pomorskie;267;5113;4499;1030;3016
2007;opolskie;148;2163;1870;916;2682
2007;kujawsko-pomorskie;251;4419;3978;898;2514
2007;śląskie;514;10720;9531;919;2997
2007;łódzkie;390;4488;4901;911;2536
2007;małopolskie;337;5012;4149;864;2741
2007;warmińsko-mazurskie;306;3184;3029;835;2454
2007;mazowieckie;477;9506;9064;1207;3720
2007;świętokrzyskie;139;2150;1126;776;2527
2007;podkarpackie;198;3258;2214;701;2423
2007;podlaskie;215;1893;2045;884;2607
2007;lubelskie;295;3795;2319;792;2542
2008;zachodniopomorskie;226;4598;3784;1049;2974
2008;lubuskie;201;2537;2232;1059;2748
2008;dolnośląskie;311;7375;6250;1119;3225
2008;wielkopolskie;367;6804;5677;1019;2976
2008;pomorskie;287;5324;4096;1102;3278
2008;opolskie;157;2267;1694;1080;2978
2008;kujawsko-pomorskie;323;4754;3606;950;2761
2008;śląskie;536;11219;9711;1041;3347
2008;łódzkie;379;4897;4298;1013;2822
2008;małopolskie;369;5227;4362;1001;3020
2008;warmińsko-mazurskie;361;3384;2805;979;2692
2008;mazowieckie;701;9823;9165;1336;4105
2008;świętokrzyskie;135;2097;1259;878;2823
2008;podkarpackie;239;3150;2290;791;2680
2008;podlaskie;247;2112;1837;935;2853
2008;lubelskie;398;3722;1939;881;2825
2009;zachodniopomorskie;238;4753;3804;1140;3126
2009;lubuskie;285;2485;1968;1103;2899
2009;dolnośląskie;295;7221;6527;1174;3386
2009;wielkopolskie;451;6635;5057;1097;3099
2009;pomorskie;341;5233;4145;1164;3419
2009;opolskie;185;2254;1762;1082;3111
2009;kujawsko-pomorskie;333;4694;3896;1015;2907
2009;śląskie;712;11075;8661;1114;3486
2009;łódzkie;471;4854;4929;1115;2977
2009;małopolskie;463;5420;4095;1042;3159
2009;warmińsko-mazurskie;395;3364;2840;1084;2830
2009;mazowieckie;706;9934;9003;1439;4340
2009;świętokrzyskie;155;2043;1041;938;2975
2009;podkarpackie;242;3163;2273;835;2822
2009;podlaskie;251;1994;2040;1019;2984
2009;lubelskie;390;3638;2814;909;2962
2010;zachodniopomorskie;206;4261;3314;1187;3242
2010;lubuskie;183;2377;1937;1153;3018
2010;dolnośląskie;266;6725;5797;1239;3517
2010;wielkopolskie;374;6267;4926;1126;3252
2010;pomorskie;268;4690;3661;1243;3500
2010;opolskie;186;2102;1516;1116;3209
2010;kujawsko-pomorskie;291;4172;4000;1158;3017
2010;śląskie;698;10015;8522;1168;3634
2010;łódzkie;440;4500;4267;1179;3157
2010;małopolskie;467;5106;3621;1108;3300
2010;warmińsko-mazurskie;373;3032;2899;1103;2977
2010;mazowieckie;651;9236;8314;1602;4421
2010;świętokrzyskie;208;2027;1536;1026;3098
2010;podkarpackie;252;2999;2087;907;2970
2010;podlaskie;234;1889;1937;1103;3135
2010;lubelskie;359;3430;2483;978;3137
2011;zachodniopomorskie;245;4005;3657;1231;3371
2011;lubuskie;214;2313;2103;1190;3167
2011;dolnośląskie;241;6879;5942;1283;3678
2011;wielkopolskie;326;6209;5353;1135;3400
2011;pomorskie;260;4765;3958;1287;3675
2011;opolskie;141;2017;1705;1182;3372
2011;kujawsko-pomorskie;330;4259;4029;1109;3168
2011;śląskie;695;9830;8329;1215;3836
2011;łódzkie;436;4213;4055;1203;3345
2011;małopolskie;439;4955;4941;1157;3479
2011;warmińsko-mazurskie;336;3119;2887;1097;3108
2011;mazowieckie;559;9307;8712;1623;4627
2011;świętokrzyskie;172;2008;1310;1063;3242
2011;podkarpackie;197;3081;2371;938;3121
2011;podlaskie;220;2001;1883;1225;3277
2011;lubelskie;313;3457;2806;1026;3323
2012;zachodniopomorskie;229;4168;3293;1264;3511
2012;lubuskie;248;2554;2006;1231;3276
2012;dolnośląskie;262;7311;5792;1367;3788
2012;wielkopolskie;294;6407;5696;1153;3524
2012;pomorskie;247;4879;3098;1351;3794
2012;opolskie;148;2095;1656;1294;3440
2012;kujawsko-pomorskie;348;4461;3916;1134;3285
