JPT_NAZWA_;prod_mleka;Ceny_nieruchomosci;Samobojstwa;Malzenstwa;Rozwody;Dochodnaosobe;Wynagrodzenie;bary;Bezrobotni;Przemocdomowa;Zgony;Absolwenci;Bydło;Pow_rol;Skup_mleka;Skup_bydla;Lasy;Zwierz_lowna;Eko_gosp_rol;poz_rol;ubostwo_proc;hotele;;
zachodniopomorskie;113;361856;682;4418;2616;2801;7060;263;14891;2193;18696;46;109045;29;155;9;845244;2515;2895;640;15;57;;
lubuskie;72;290889;307;2493;1364;2746;6884;75;4199;1794;10740;30;91389;22;241;10;711827;547;1177;327;12;29;;
dolnośląskie;162;419625;1058;8054;4720;2740;7831;1079;20237;3191;32209;101;105926;18;193;9;614395;1580;770;1058;11;148;;
wielkopolskie;2486;389772;988;7557;5037;2495;6856;235;13777;4342;35134;78;1174862;12;1275;116;789220;1043;904;961;15;118;;
pomorskie;381;472625;1811;5765;3471;2292;7598;406;14598;2951;22945;89;228096;16;474;35;686284;656;614;412;13;96;;
opolskie;284;277384;278;1764;1287;0;7087;66;7929;781;10624;54;138775;15;574;10;257972;643;75;313;11;29;;
kujawsko-pomorskie;1028;300555;537;4412;3251;2534;6808;294;21574;2622;22323;64;494543;12;829;43;431700;377;375;471;20;62;;
śląskie;309;303647;2120;9487;7144;2892;7652;509;19475;6901;51723;67;130874;9;703;93;406720;640;145;472;8;108;;
łódzkie;1023;333134;1490;4716;3765;2555;7133;204;20850;2313;30360;68;430364;7;861;85;397979;395;554;1023;13;60;;
małopolskie;246;550105;1205;5809;4078;2790;7782;576;21784;2662;32777;107;153197;5;248;36;438942;392;605;988;14;201;;
warmińsko-mazurskie;1062;302934;629;2880;2226;2428;6527;160;13497;1882;14594;45;456574;19;845;28;789984;709;3796;557;22;51;;
mazowieckie;3576;606698;1328;11357;8709;3209;8837;1582;45695;6887;57859;102;1164730;8;1355;56;843416;246;2551;2400;12;117;;
świętokrzyskie;230;321333;565;1596;1344;2419;6563;147;12783;1914;14384;46;135209;6;351;42;338312;244;547;1000;20;41;;
podkarpackie;143;335413;653;2542;2263;2281;6485;182;30235;1543;19705;60;72539;6;169;9;693202;651;832;1084;16;67;;
podlaskie;3567;360779;602;1622;1713;2681;6841;139;13480;887;12053;65;1037637;10;2486;75;641289;338;4591;437;26;27;;
lubelskie;800;383645;772;2995;3052;2461;6763;129;24734;3776;22910;85;343701;8;411;16;597721;292;1923;911;20;78;;
